#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 23 21 999 99.0 99.0  2.19 11.11  6.55  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 23 51 999 99.0 99.0  2.16 10.53  6.70  84 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 00 51 999 99.0 99.0  2.08 11.11  6.65  84 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 01 21 999 99.0 99.0  2.09  9.88  6.48  81 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 02 21 999 99.0 99.0  2.07  9.88  6.41  73 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 02 51 999 99.0 99.0  2.10 11.76  6.47  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 03 21 999 99.0 99.0  2.05  9.88  6.32  81 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 03 51 999 99.0 99.0  2.05 10.53  6.31  74 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 04 21 999 99.0 99.0  2.12  9.88  6.70  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 04 51 999 99.0 99.0  2.04 11.11  6.52  66 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 06 05 21 999 99.0 99.0  1.85 11.11  6.46  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 06 21 999 99.0 99.0  1.84 10.53  6.39  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 06 06 51 999 99.0 99.0  1.96 11.11  6.74  78 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 07 51 999 99.0 99.0  2.19  9.09  6.90  76 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 08 21 999 99.0 99.0  2.14 11.11  6.78  76 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 08 51 999 99.0 99.0  2.09 11.76  6.74  77 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 09 21 999 99.0 99.0  2.45 10.53  6.94  71 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 10 21 999 99.0 99.0  2.56 11.11  6.86  71 9999.0 999.0  27.5 999.0 99.0 99.00
